title,text_review
Недостатки: ,"1. На солнце, если лучи попадают на экран, то невозможно разглядеть, что там такое и пользоваться телефоном невозможно. Продолжительное время пользовался Nokia 920, там при попадении лучей на экран, менялась контрастность и на телефоне можно было читать или пользоваться навигацией.
2. Изначально прошивка идет с выключенным шифрованием на уровне Android, когда включаем шифрование телефон начинает немного притормаживать.
3. Уж очень сильно MUI иногда предлагает завести аккаунт Xaomi. Тем не менее, в отличие от аккаунта Googla или Apple без аккаунта Xaomi вполне можно жить на их телефоне."
Комментарий: ,В целом телефоном доволен. Рекомендую всем.
Достоинства: ,"- Отзывчивость тачскрина великолепная.
- Хороший звук, даже низкие немного выдает.
- Мощное железо достойное флагмана.
- Не супер, но очень достойный аккумулятор. Отказался от Asus Zenfone Max из за его слабости. Батарея в Xiomi держит конечно поменьше но я получил телефон на несколько порядков современнее. При изнасиловании телефона в течение дня батарея держится около суток. Навигатор до Ярославля и обратно держит и не чихает.
- Отлично собран.
- Прекрасно лежит в руке.
- Удобная жесткость клавиш громкости и блока экрана.
- Дизайн тоже отличный."
Недостатки: ,"При перечислении недостатков осознаю что за такие деньги это плевые мелочи, на которые не обращаешь внимания. Если конечно это для кого то не критично.
 - Ужасная основная камера. Не любитель пофотать но иногда нужно. 13 мгпс там и не пахнет. Зернистость просто шлак, кошмар и т.п. Зачем такому тихому ужасу запись виде в 4к формате не ясно. Ну да ладно.
- Скользкий корпус, рекомендую сразу купить какой нибудь чехол (под кожу например), что бы не скользил.
- По-мимо хорошей отзывчивости экрана наблюдается странный факт - практически полностью отсутствующая сила трения на экране. Выражается это в том, что функции доступные при удержании пальца на экране не всегда срабатывают потому что палец просто не держится на месте. Он скользит по экрану как корова на льду))
- Еще один момент по экрану - он царапается очень легко. Заказал бронестекла, потренируюсь в приклеивании и узнаю поможет ли это в дополнение увеличить силу трения)
- Прошивка либо сама версия Андроид немного непривычна (сомнительный недостаток но все же). Например нет привычного пункта меню для просмотра всех имеющихся приложений в нижней части экрана. Это видимо очередной закос под Айфон."
Комментарий: ,Телефон за свои деньги нереально впечатляющий. Перечисленные недостатки это лишь попытка обьективно его оценить. Надеюсь помог тем кто его еще не купил. Я рекомендую к покупке на 100%. У меня знакомые и родственники начали пользоваться такими же) Уже трое купили. Но для фото он точно никак не подходит. Кому-то это может показаться критичным. Видео в принципе неплохое.
Достоинства: ,"Аккумулятор
Внешний вид
Экран
Объем оперативки и памяти (3 и 32 Гб соответственно)
Хорошая производительность
Отсутствие глюков
"
Недостатки: ,"1. Не очень понимаю с чем это связано, но когда играют уведомления с mail.ru (только с mail.ru) - хрипят динамики. Менял звук уведомлений - хрип остается. Не уверен, что это надо писать в недостатки аппарата, так как возможно это косяк mail.ru. 
2. Неудаляемые стандартные приложения. Некоторые из них абсолютно бесполезны, например браузер, аудио, видео - но удалить их нельзя.
3.Иногда теряется GPS (очень редко)
4.На мой взгляд, не очень хороший модуль wi-fi.
"
Комментарий: ,В целом за эти деньги ничего лучше нет точно.
Достоинства: ,"очень понравился этот телефон,и дизайн и скорость,все работает четко,держать в руке одно удовольствие.Что наиболее для меня понравилось-это звук...громкий,четкий.Я всегда мучилась со звонком,а сейчас звенит так,что слышу из другой комнаты.Словом,для такой цены,просто супер"
Недостатки: ,недостатков нет
Достоинства: ,"1. Цена, правда сейчас их почти не купишь и они подорожали
2. Время работы. 2-3 дня автономной работы оказывается это реально. С другими даже топовыми марками и моделями тел не доживал до вечера.
Внешний вид. Но тут на вкус и цвет..."
Недостатки: ,"1. Наверное основной минус - это оболочка MUI. Не знаю почему от нее все фанатеют, у меня после использования HTC и Samsung есть вопросы. Но допускаю, что по сравнению с остальным ""Китаем"" это эталон.
2. Камера тоже слабая, но ребят, серьезно, тел за 12К... Не может же быть все супер.
3. Говорят проблемы с запчастями в Москве, но мне тфу-тфу пока не довелось проверить."
Комментарий: ,"На мой взгляд лучше всего характеризует телефон тот факт, что это уже 2й такой тел в нашей большой семье. И я его рекомендую и другим своим родственникам и друзьям. За эти деньги - это очень достойный вариант."
Достоинства: ,"батарейка, шустрый процессор"
Недостатки: ,"Отпечаток пальца с мобильными банками не хорошо работает, хотя на таком же телефоне (другом) все работало без проблем, возможно из-за разных версий фирменной прошивки, звонил в сервисный центр, пригласили, обещали исправить, собираюсь съездить, так же при подключении к громкой связи, слетают разрешения с некоторых приложений, а так же и активация с этих же приложений."
Комментарий: ,"Очень живучая батарейка, раньше пользовался самсунгом с4, с новой батарейкой, как бы день проживал и вечером до 30% разряжался, а тут утром отключил от зарядки, поехал в другой город, включил жпс, блютуз, навигатор, проехал 7 часов, вечер с включенным вайфаем рубился в покер часа два, весь следующий день со включенным блютузом, потом опять покер с вайфаем, в итоге поставил заряжаться на 5% через два дня такого вот использования. Скорости, ну я даже не знаю как их тут описать, быстрее чем на с4, все, что могу сказать, как другие летают/тормозят не знаю. Телефон рекомендую."
Достоинства: ,"Батарея, цена, 2 sim"
Недостатки: ,"Нет NFC, постоянно кому то звонит если забыл заблокировать, греется в играх"
Комментарий: ,"Консервативный подход к выбору, телефон должен звонить. Долго звонить и не глючить. Взял бы опять кнопочный, но моделей нормальных нет. Искал по жестким критериям: 2 sim, аккумулятор от 4000, экран не больше 5, цена не больше 10к. По отзывам это лучшая модель, взял и не пожалел. В карман помещается нормально, батарею держит трое суток легко. Правда использую только как телефон, все игры и приложения есть на планшете. Музыку тоже послушать можно, не фонтан на дорогих ушах, зато громко. А что вы хотели за 10к? До идеала не хватает батареи 4500, NFC прямо очень нужен и нормальный слот по память. А так модель 9 из 10.!"
Достоинства: ,"Скорость работы, батарея, цена, размеры"
Недостатки: ,"Бывает фокус подводит, нет опции следящей за глазами (чтобы не отключался экран в нужный момент), нет подсветки клавиш ""домой"", назад и т.п."
Комментарий: ,"На самом деле для меня недостатки абсолютно не существенны, использованию никак не мешают. Про этот телефон хочется говорить только самое хорошее, так как он отвечает всем (ну почти) требованиям. Скорость работы просто потрясающая, летает, очень удобно сделан переход между окнами. Батареи мне хватает на 3 дня! Фотографии все сочные, много настроек. Уже изначально телефон в пленке матовой очень хорошего качества и стоит только отрезать ""корешок"" и пленка не отойдет и еще прослужит долго. Телефон со световым индикатором, цвета можно  настроить по своему усмотрению и, самое главное, что цвета не ядовитые и индикатор работает плавно. Из приятных настроек: можно выставить режим с указанием времени, когда телефон перейдет в режим ""не беспокоить"" и когда необходимо отключить его; можно поставить вспышку на звонок; после обновления появилось удобное окно с быстрыми заметками и прочими программами, которые помогут ничего не упустить.
А вообще, модель испытана родственниками, мной и поэтому купили еще такой маме. "
Достоинства: ,"Процессор, батарея, экран"
Недостатки: ,Не обнаружил
Комментарий: ,"3 сяоми в семье и ни одного разочарования. Обращаюсь к собирающимся покупать. Не верьте купленным самснгНТС ботам. Все недостатки, которые они указывают, вроде отсутсвия поиска на русском в тел книге и отсутствие 4Джи - полная чушь. Берите 2017 года с узкими рамками и будет всё ОК."
Достоинства: ,"Шустрый, яркий, долго держит батарею(двое суток активного пользования). Удобно лежит в руке. Цена/качество лучшее на рынке"
Недостатки: ,За свою цену таковых не имеет!
Комментарий: ,Доволен на 100%. Рекомендую всем!
Достоинства: ,"Удобный, быстрый, понятный, после айфона легко разобралась , хорошая камера, идеальное соотношение цены и качества"
Достоинства: ,"Телефонов доволен. Отличная цена качество. Понравилось у Xiaomi: встроенный черный-белый список, встроенная запись разговоров, встроенный антивирус с тонкой настройкой разрешений для приложений. При наборе номера пишет регион России куда звонишь."
Недостатки: ,"Телефон спустя месяц начал сам выключаться, и не как его после этого не включить. При этом заряд в норме. И после зарядки не включается. Спасает только комбинация нажатия и удержания кнопок Питание + Кнопка вверх и перегрузкой телефона в китайское меню. И таких случаев за 2 месяца - 4 раза. Неприятно."
Достоинства: ,"Искал смартфон с небольшим экраном с хорошим разрешением, нашёл."
Недостатки: ,пока не выявил.
Комментарий: ,"камера вполне достойная, памяти достаточно, вообщем всем доволен. "
Достоинства: ,"Классный смартфон. И фотки нормальные для телефона в сравнении даже с Sony expiria Z1, который у меня был 5 лет. А кому не нравится, купите фотик зеркалку."
Недостатки: ,"Временами не срабатывает отпечаток пальца с первого раза. Но если введены отпечатки нескольких пальцев, то при прикасании другим пальцем тут же срабатывает))) "
Комментарий: ,"Чехлы дорогие, если покупать в России от 500 руб и выше, зато на АлиЭкспресс их сотни и все за 100-150 руб"
Достоинства: ,"Хорошо держит заряд, качественный дисплей, неплохая сборка, разблокировка по отпечатку пальца, без тормозов, хороший звук, металлический корпус, цена. "
Недостатки: ,Не обнаружил
Комментарий: ,Лучшее соотношение цена качество
Достоинства: ,"Надежная сборка - ничего не скрипит и не болтается. Интерфейс без тормозов, и вообще телефон довольно шустрый. Две сим-карты. Экран - ничего особенного, но в порядке, в солнечный день все видно. Нет горы предустановленного мусора в прошивке (по крайней мере, в моем ""сером"" экземпляре все чисто)."
Недостатки: ,"Видеозапись печальна: фото еще более-менее, но вот видео огорчило. Нет NFC, соответственно, не воспользуешься новомодной бесконтактной оплатой."
Комментарий: ,"Купил на замену Meizu M3S, который после трех месяцев начал разваливаться. Камера, конечно, могла быть получше, но за такие деньги (9500 рублей) аппарат шикарен. Не пожалел ни разу, что взял."
Достоинства: ,"Быстро работает, экран чёткий, батарея  держит 2-3, а то и 4 дня"
Недостатки: ,Камера хромает
Достоинства: ,Качество сборки. Экран. Производительность.
Недостатки: ,Пока таких нет.
Комментарий: ,"Рынок диктует нам условия, что качественная вещь обязательно должна быть дорогой. На примере Этого смартфона можно смело с ним (рынком) спорить и местами диктовать."
Достоинства: ,"Просто хороший смартфон, стоящий своих денег"
Недостатки: ,"Камера плохо снимает ночью, ещё меня бывает плохо слышно при разговоре (в обратную сторону хорошо)"
Комментарий: ,Купил на замену 4х годичному HTC-полуфлагману. Новый телефон за 9 тысяч на голову выше его по всем параметрам. Технологии и Китай не стоят на месте.
Достоинства: ,"Автономность!
Оболочка интересная"
Недостатки: ,"При такой цене недостатков нет
Не нашел способа перемещать приложения на внешнюю карту"
Достоинства: ,"Неубиваемый аккумулятор - заряжаю смартфон раз в 3-5 дней. Обычно слушаю музыку/читаю книги в метро, периодически пользуюсь гуглокартами + whatsapp, viber, vk. За несколько месяцев пользования всего пару раз батарейка села до 20%. Отличный экран. Довольно хорошая оболочка от Xiaomi. Все работает очень шустро. Прошивку на официальную не обновлял - все работает и так без проблем (но я использую английский язык). "
Недостатки: ,Иногда не сразу срабатывает сканер отпечатков пальца. 
Комментарий: ,"Прекрасный смартфон за свои деньги - никаких нареканий за все время пользования не вызвал: эмоции только положительные. Брал в первую очередь из-за батарейки и разрешения экрана - за эти деньги, наверное, ничего лучше не найти."
Достоинства: ,Все !  . просто супер ! 
Недостатки: ,"Не нашёл пока :-) 
один не значительный , если надо 2 Sim + SD. То придется адаптировать на свой страх и риск. "
Комментарий: ,"Отличная железка за свои деньги ! 
Рекомендую ! Конкурент всяким HTC Самсунгам, и прочим именитым брендам. Не переплатил ! Получил по максимуму. 
"
Достоинства: ,"Внешний вид:у меня-белый.Ну что сказать-супер.Корпус метал,в руке лежит классно.Батарея,дня два-три.Фотки нормальные.(Снимал вечером в лесу,и умудрился сделать вполне нормальные снимки.)Видео классное.Ну и др..Все не перечислить)))"
Недостатки: ,Вот!Главный для меня : это выбор или вторая симка размером наносим.Или флешка микро сд.MIUI оболочка-пользы от нее для пользователя ?
Комментарий: ,"Главное!Телефон мне нравится.Он мне очень нравится.Это смартфон с быстрым процессором и оперативкой.Большой памятью.Хорошим звуком, хорошим дисплеем.Емкой батареей.
P.S.Очень порадовала функция пульта для телевизора."
Достоинства: ,"Долго держит заряд.
Всё летает.
Хороший GPS."
Недостатки: ,При включённом 4G не разобрать собеседника. Собеседник при этом всё отлично слышит. Отлключение 4G решает проблему.
Комментарий: ,"Произвольных отключений и перезагрузок, о которых много пишут, не было. Надеюсь, 4G поправят когда выйдет новая прошивка, но когда это будет - неизвестно."
Достоинства: ,"Шустрый, красивый, хорошо держит заряд"
Недостатки: ,Не увидел
Комментарий: ,"Купил для жены, пользуется уже месяц - очень довольна"
Достоинства: ,"отличный аппарат. многое что нравится. настроек много, но настраиваются разово. потом все летает. замечаний за пару недель не выявил. ради интереса установил игрушку выживание. шла без зависаний, без глюков. графика была высокого качества."
Недостатки: ,"не выявлены пока, буду искать )"
Достоинства: ,Батарея 4000 - это однозначно достоинство.
Недостатки: ,Пока не нашёл.
Комментарий: ,"Очень удивил функционал телефона. Снимаю шляпу перед Китаем - достойный образец. Аппарат позволяет запускать два мессенджера (Viber, WhatsApp и др.). Поясню - вы два раза можете запустить WhatsApp один в первом экране с первой симкартой (Билайн), второй со второй симкартой(МТС) на втором экране. Это удобно еще тем, что в телефоне есть ""Второе пространство"", т.е. можно переключиться на второй полноценный «экран». В новом пространстве вы можете настроить мессенждеры на 2-ую симкарту, онлайн клиенты различных банков и т.д., а затем закрыть ""Второе пространство"" на открытие по отпечатку пальца. И ни кто кроме вас в туда не зайдёт!!!"
Достоинства: ,"Мне нравится все: внешний вид, скорость,камера, как работает."
Недостатки: ,Нареканий нет
Комментарий: ,Очень довольна
Достоинства: ,Отличный аппарат за свои деньги
Недостатки: ,При недостаточном освещении камера снимает с шумами
Комментарий: ,"версия прошивки пришла глобальная уже на андройд 6, так что даже танцев с буном не требовалось, все переведено корректно, китайский язык не замечен."
Достоинства: ,Отличный телефон
Недостатки: ,Нет
Комментарий: ,Все отлично
Достоинства: ,за такую цену все
Недостатки: ,не обнаружил
Комментарий: ,"и не надо платиь54000,как некоторые не здоровые люди."
Достоинства: ,Батарея держит 2 дня!!!
Недостатки: ,Иногда глючит датчик приближения.
Достоинства: ,"Все, от дизайна до автономности при таком железе"
Недостатки: ,"Если чуть чуть прикрыть микрофон пальцем, уже не слышно. В темноте некорректно работает датчик приближения"
Комментарий: ,Все огонь за такие деньги
Достоинства: ,"Солидный дизайн, хорошая скорость работы, четкие снимки, муж просил у Деда мороза телефон и был просто счастлив, все понравилось"
Комментарий: ,Все понравилось!
Достоинства: ,"1. хорошее качество изготовления
2. довольно живучий аккумулятор
3. хорошее быстродействие
4. хороший экран
5. соотношение цена/качество"
Недостатки: ,прошивка пока подглючивает
Комментарий: ,"два телефона в пользовании, почему-то на одном прошивка корейская 8.0.5хх, на втором какая-то ""ночная"" сборка-неделька 8.6.ххх"
Достоинства: ,Покупал жене   хороший дизайн   мощная батарея жена по работе  разговоривает очень много говорит хватает зарядки на три дня быстрый процессер интернет летает  у меня самсунг покупал в этом году за 15000 т.р лучше-бы за13000т.р китайца купил доставка понравилась
Недостатки: ,пока не обнаружил
Комментарий: ,берите китайца чем самсунг
Достоинства: ,"за 11200р  черный найдите мне лучше и дешевле свой отдам бесплатно !)) 
Автономность 2 дня  игры, музыка он лайн, мессенджеры и к концу 2 дня еще остается 15%
экран мне нравится 2.5D  стекло..
62000 в антиту 
внешний вид чисто мужской аппарат брутальный такой в руке лежит четко.
громкий динамик"
Недостатки: ,"При медленном скроле, нет плавного хода в любом приложении и веб браузере, Вина в этом сырой оболочик 100%, прошивка пока не вышла но думаю скоро выйдет просто аппарта еще новый даже на 4 pda  тихо(. У меня с гугл плей, все работает. Даже сейчас достойно,"
Комментарий: ,"несомненно в своей ценовой категории, лучший... Брутальный аппарат!"
Достоинства: ,"Отпечаток пальца, камера, быстродействие, собственная платформа, камера, батарея, внешний вид, удобно лежит в руке!!!"
Недостатки: ,Жаль что не подарили бластер при покупке.
Комментарий: ,Хороший во всём и не дорогой телефон!
Достоинства: ,Качественная вещь за очень разумные деньги.
Недостатки: ,Пока не выявил.
Комментарий: ,"Некоторый негатив, скорее, связан с отсутствием на сегодняшний день глобальной прошивки, что вполне объяснимо новизной модели. Да и этот негатив мог не возникнуть, если бы продавец (а я покупал в Москве в интернет-магазине) был бы более предусмотрительным. Ведь недальновидность продавца давала мне все законные основания попользоваться телефоном пару недель, и сдать из-за формального наличия недостатков.
Во-первых, отсутствует русская раскладка клавиатуры. Этот вопрос я решил сам установкой соответствующей программки из Гугл-Маркета. 
Во вторых, не открывалось приложение СМС/ММС-сообщения. Постоянно писал об ошибке. Полазил по форумам, но решения не нашел. Пришлось возвращаться к продавцу. Тот без лишних разговоров установил также другую программу. Почему бы это было не сделать в момент покупки? Пришлось лишний раз мотаться, тратить свое и их время... ""Ложечки-то в итоге нашлись, а осадочек остался...""
Насколько я понял, не на всех аппаратах возникает эта ошибка - так что во избежание недоразумений и лишних проблем проверяйте сразу при покупке.
А пока ждем глобальную прошивку, которая должна полностью все нормализовать..."
Достоинства: ,"Удобный
Много памяти (как же не хватало этого)
Цена
Железо
Камера
Это лучший телефон который я держал в руках"
Недостатки: ,"Сенсор тупил несколько раз
Динамик 1 только работает. Хотя точно не знаю должно ли 2 работать..."
Комментарий: ,Покупайте стекла и чехлы на али экспресс
Достоинства: ,качество начинка цена
Недостатки: ,отпечаток пальца сзади. нет nfs
Достоинства: ,Все шустро бегает. Есть дополнительные шняги по безопасности
Недостатки: ,Пока не нашел
Комментарий: ,Пока всем доволен
Достоинства: ,"большой экран, ёмкая батарея, много удобных функций , гибкая настройка оригинальной операционной системы"
Недостатки: ,(Камера) Хотите фото-купите фотоаппарат
Комментарий: ,"За свои деньги , достойный аппарат,более чем"
Достоинства: ,"Цена.
Производительность хороша.
Батарея и её расход
FM приёмник ловит хорошо
Гибкая оболочка MUI
корпус алюминий матовый"
Недостатки: ,черный стоит дороже белого
Комментарий: ,"До этого юзал Lenovo P780  привык заряжать телефон раз в 2 -3 дня, в целом этот аппарат держит батарею не хуже.
Корпус приятный не остаётся отпечатков пальцев, на дисплее также с этим все хорошо.
Камерой остался доволен для бюджетника она оказалась лучше моих ожиданий.
На 4 pda говорят что есть проблемы с булькуюшим звуком собеседника, я не выявил этих проблем.
Соотношение цена качество очень хорошее."
Достоинства: ,"быстрота, дизайн, батарея, качество сборки"
Недостатки: ,не обнаружено
Комментарий: ,"лицевая панель белого цвета! держит батарею стабильно 2 дня, ношу в бампере без защит пленки или стекла. царапин не обнаружено. "
Достоинства: ,"Соотношение Цена-Качество.
Батарейка держит в напряженном рабочем режиме 1,5 дня,
Очень шустр и приятен (как на ощупь, так и интерфейс)
"
Недостатки: ,не обнаружены пока
Комментарий: ,Перед этим было Нокиа735. Сравнивать нельзя- совершенно разные уровни. Xiaomi Redmi 4 Prime великолепен.
Достоинства: ,"+экран
+кнопка блокировки с отпечатком пальца
+2сим карты с разъемом как в iphone
+камера с возможностью HDR
+красивый корпус"
Недостатки: ,"-когда зарядки остается примерно 15%, он может выключится и долго не включаться (при подключении питания, все равно пару часов может быть выключенным) - это конечно очень неудобно, и какой-то большой косяк, но я не знаю, насколько это применимо ко всем моделям"
Комментарий: ,"похож на iphone, но гораздо дешевле"
Достоинства: ,"быстродействие, функционал (различные плюшки от Mi), камера, грамотный и удобный отпечаток пальца, дизайн и материал корпуса
"
Недостатки: ,"По поводу батареи только могу высказать сомнения, полагал, что будет дольше... 
До этой модели был sony c3. (2500 Мач) а в приобретенном Miфоне 4100. 

Вроде бы, на соньке был аккумулятор в два раза меньше объемом, однако, пока, заряд при умеренном использовании держится одинаковое количество времени -
 день."
Комментарий: ,"Шустрый телефон, 3 гб оперативы дают о себе знать. Фронталка обычная, а вот основная камера очень даже. Снимает четко, моментально, долго не думает, что важно.

Сходство телефона, как внешне, так и внутренне с яблочной продукцией просто поражает. 

Происхождение подобной линейки моделей можно объяснить только одним способом: android дико сношался с ios  и от их союза родился xiaomi и дали они ребеночку имя miui
"
